AGAPPL,Commodity_Crop_ACRE,Hay_ACRE,Permanent_Pasture_ACRE,Noncommercial_Woodland_ACRE,Commercial_Timber_ACRE,Other_Crops_ACRE,Homesite_ACRE,Road_Waste_Pond_ACRE,CRP_ACRE,Conservation_Practices_ACRE,Other_Use_ACRE,STATED_TOTAL_ACRES,GROSS_INCOME,GROSS_INCOME_2,GROSS_INCOME_3
1103,86.109,,,,,,,,,,,86.109,,,
1104,162.3,,,,,,,7.242,,0.008,,169.55,,,
1105,65,,,,,,,2,,,,67,,,
1106,,,,,,,,,,,,,,,
1107,35.747,,,1.01,,,,1.104,,,,37.861,,,
1108,,,,,,,,,,,,,,,
1109,189.77,20,15,21.47,,,1,10.76,,,,258,12000,68838,
1110,247.46,,,45,,,2,2,,,,296.46,,,
1111,14.468,,,,,,,,,,,14.468,,,
1112,58.901,0,0,0.868,0,0,0,0,0,0,0,59.769,,,
1113,77.74,,,,,,,,,,,77.74,,,
1114,,,,,,,,,,,,,,,
1115,72.331,,,,,,1,2.484,7.81,0.059,,87.684,,,
1117,,65.78,,,,,,4.251,2.961,,,72.992,,,
1118,31,,,,,,,,,,,31,,,
1119,,,,,,,,,,,,,,,
1120,28.03,0,0,4.84,0,0,0,0.591,1.13,0.223,0,34.814,,,
1121,,,,,,,,,,,,,,,
1122,103,,,4,,,1,6.379,,,,114.379,,,
1123,84.364,,,18.419,,,,1.89,,,,104.673,,,
1124,49.886,0,0,0,0,0,0,0,0,0,0,BLANK,,,
1125,162.24,9.06,,,32.74,,1,14.234,,,,219.274,,,
1126,14.6,,,,,,,,,,,BLANK,,,
1127,17.686,,,,,,1,0.25,,,,18.936,,,
1128,189.261,,,41.36,,,,21.526,,5.88,,BLANK,,,
1129,18,,,,,,,,,,,BLANK,,,
1130,112.45,5.13,,,,,,0.449,,,,133.224,,,
1131,,,,,18.19,,,,,,,18.19,,,
1132,,,,,,,,,,,,,,,
1133,,,,,,,,,,,,,,,
1134,16.964,,2.77,7,,,1,1.2,,,,28.934,,,
1135,111.317,,,,,,0,9.967,,,,121.284,,,
1136,52,,,10.1,,,,2.332,9.458,,,73.89,,,
1137,70.437,,,,,,,,,,,70.437,,,
1138,56.474,,,,,,,6.02,2.98,,,BLANK,,,
1139,111.77,9,,60,,,1,6.919,7.97,0.311,,196.7,,,
1140,58,0,0,8,0,0,0,9.04,0,0,0,75.04,,,
1141,427.294,,,,,,,,,,,427.294,,,
1142,,,,,,,,,,,,,,,
1143,21.475,,,3.1,,,1,2.5,0,,,28.575,,,
1144,35.961,,,7,,,2,3,,,,47.961,,,
1145,,,,,,,,,,,,,,,
1146,,,,,,,,,,,,,,,
1147,,,,,,,,,,,,,,,
1148,187.474,,,20.86,,,,5.499,,4.737,,218.57,,,
1149,,,,,,,,,,,,BLANK,,,
1150,,78.92,,,,,,,,,,BLANK,,,
1151,87.836,,,11.8,,,,6.29,0,,,105.926,,,
1152,,,,,,,,,,,,,,,
1153,22.5,,,,,,1,0.23,,,,24.73,,,
1154,59.509,,,,,,,3.982,,,,63.491,,,
1155,,,,,,,,,,,,,,,
1156,123.758,,,,,,,,,,,123.758,,,
1157,25,,,,,,,0.2,,,,25.2,,,
1158,177.9,0,0,10,0,0,1,25.191,0,0,0,197.93,,,
1159,118.023,,,0.687,,,0,2.102,,3.624,,127.356,,,
1160,10.4,,,3.4,,,,,,,,13.8,,,
1161,284.11,,,,,,1,3.364,0.5,2.652,,295.126,,,
1162,406.59,8,,71.32,,,2,8.611,9.58,0.969,,516.193,,,
1163,,,,,,,,,,,,,,,
1164,58.99,,3.39,,10,,1,5.12,0,,,79.25,,,
1165,62.211,,,20.83,,,0,7.759,0,,,90.8,,,
1166,89.716,,,58.091,,,,5.995,,,,153.802,,,
1167,106.632,,,,,,,,,,,106.632,,,
1168,178.1,,,43.54,,,2,3.885,,,,227.525,,,
1169,66.07,,,,,,1,7.951,0,0.979,,80,,,
1170,333.41,,,13.79,,,2,62.532,,,,364.647,,,
1171,80.7,0,0,0,23.57,0,0,0.462,0,0,0,104.732,,,
1172,,,,,,,,,,,,,,,
1173,16.76,,,6.57,,,1,0.5,,,,24.83,,,
1174,93.4,,,,,,,,,,,93.4,2030.886,28915.36,6172.53
1175,152,0,0,17,0,0,0,13.853,11.67,0,0,194.523,,,
1176,269.15,,,,,,,,,,,BLANK,,,
1177,97.098,,,,,,,,,,,97.098,,,
1178,,,43.338,,,,,,,,,BLANK,,,
1179,103,,,17.5,,,0,1.56,0.5,2.182,,127.762,,,
1180,,,,,14,,,0.51,,,,BLANK,,,
1181,191.77,0,0,15.7,0,0,1,1.082,0,0,0,214.71,,,
1182,8,,,,,,1,1.26,,,,10.26,,,
1183,144,0,,6,,0,0,0.635,,,,150.635,,,
1184,58.3,,,13.7,,,1,2,,,,75,,,
1185,7.95,,,,,,,,,,,BLANK,,,
1186,60,,17,,,,1,2,,,,BLANK,,,
1187,115.928,,,10.869,,,,6,,7.521,,140.318,,,
1188,53,,,18,,,,2.001,,,,BLANK,,,
1189,70,,,,,,,6.52,,,,BLANK,42360,2640,
1190,228.87,,,6.26,,,,4.161,,,,239.291,,,
1191,51.274,,,,,,,,,,,51.274,,,
1192,,,,,,,,,,,,,,,
1193,15,,,10,,,,3,,,,BLANK,,,
1194,,,,,,,,,,,,,,,
1195,141.8,,,4.05,,,,,,,,145.85,,,
1196,232.83,,,,,,,4.437,,1.243,,238.51,,,
1197,280.133,,,,,,,,,,,280.133,,,
1198,,,,,,,,,,,,,,,
1199,,,,,,,,,,,,,,,
1200,83.306,,,12.947,,,,3.747,,,,100,,,
1201,,,,,,,,,,,,,,,
1202,84,0.86,,14,,,1,7.428,,,,107.288,,,
1203,43.942,,,6,,,1,0.75,,,,51.692,,,
1204,95.55,,,,,,,2.698,,2.203,,100.451,,,
1205,278.972,7,,,,,3,64.62,,,,BLANK,,,
1206,344.627,,,,,,1,11.56,2.44,,,362.627,,,
1207,69.99,,,,,,,0.957,,,,70.947,,,
1210,119.66,,,16.95,,,,9.818,,,,146.428,,,
1211,65,,,119.9,,,,,,,,184.9,,,
1212,54.13,,,27.9,,,1,6.97,,,,BLANK,,,
1213,25.795,,,,,,,,,,,BLANK,,,
1214,,,,33.71,,,,,,,104.81,BLANK,,,
1215,,,,,,,,,,,,,,,
1216,,,3.66,,,,0,1.002,,,,4.662,2565,,
1217,71.38,6,,14.62,,,1,0.01,4.8,,,100,,,
1218,99,0,0,19.3,,,1,5.082,,,,124.382,,,
1219,28,,,51.356,,,,,,,,79.356,,,
1220,58,,,5.243,,,1,6.356,24.4,,,94.999,,,
1221,117.83,,,,,,1,4.126,,,,122.956,,,
1222,22.694,,,15.696,,,1,0.61,,,,40,,,
1223,27.61,27,,11.64,,,1,5,,,,72.25,,,
1224,67,,,9,,,1,1.66,,,,78.66,,,
1225,39.373,,,,,,,,,,,39.373,,,
1226,75.81,,,1.46,,,0,6.86,4.59,,,88.72,,,
1227,53.305,,,,,,,0.708,,,,54.013,,,
1228,19.5,,,,,,0,3.338,,,,22.838,,,
1229,45.65,,,16.7,,,1,1.47,1.44,,,70,,,
1230,67,,,6.6,,,1,3.399,,,,BLANK,,,
1231,34.7,,,17.938,,,,,,,,BLANK,,,
1232,52.07,,,17.87,,,1,0.144,0,,,78.372,,,
1233,12.556,,,,,,,,,,,12.556,,,
1234,1.3,,,44.451,,,,5.9,,,,51.651,,,
1235,27.47,,,,,,,8.545,,,,36.015,,,
1237,158,,,,,,1,1,,,,160,,,
1238,42.91,,,6.17,,,,,,,,49.08,,,
1239,75.92,,,,,,1,6.38,,,,83.3,,,
1240,301.995,,,,122.205,,,114.265,19.499,16.969,,538.057,,,
1241,37.89,,45,8,,,1,6,,,,97.89,,,
1242,1.59,,,,,,,1.8,,,7.964,11.354,,,
1243,,,,,,,,,,,,,,,
1244,100.81,,,,,,,4.706,,,,105.516,,,
1245,2.638,,,,35,,,,,,,37.638,,,
1246,38,,,,,,,2,0,,,40,,,
1247,63,1,,8.8,,,1,6.2,,,,80,,,
1248,,,,,24,,,,,,,BLANK,,,
1249,130,,10,5,,,1,19.703,,,,BLANK,,,
1250,295,10,11,,38.07,,,,,,,354.07,,,
1251,120,,,32.335,,,1,5,1.46,,,159.795,,,
1252,,,,,,,,,,,,,,,
1253,325.921,,,42.716,,,,7.527,4.29,1.559,,382.013,,,
1254,57.55,,,14.023,,,,,,,,BLANK,,,
1255,65,15,,,,,,10,,,,90,,,
1256,41.93,,,,,,1,0,,,,41.93,,,
1257,50.28,,,4.868,,,,,,,,55.148,,,
1258,175,,,15,,,,6.219,,,,196.219,,,
1259,,,,,,,,,,,,,,,
1260,66.3,,,,,,1,4.213,,,,71.513,,,
1261,39,,,,,,,1,,,,40,,,
1262,51.8,,,8.075,,,1,7.601,,,,67.856,,,
1263,24.866,,,,,,1,1.071,,,,26.937,,,
1264,167.001,,16,,,,1,16.142,,,,BLANK,,,
1265,50.617,,,,,,,,,,,50.617,,,
1266,253.725,,,18.64,,,2,10.802,0.21,0.385,,296.682,,,
1267,,,,10.6,,,,,32.58,,,43.18,,,
1268,,,,,,,,,,,,,,,
1269,174.87,,,38.64,,,1,0.4,0,,,217.05,,,
1270,60,,,,30,,1,3.491,,,,94.91,,,
1271,56.52,,,,,,2,5.67,,,,64.19,,,
1273,9.82,,,3.36,,,,,,,,13.18,,,
1274,60,,,12,,,1,12.33,,,,85.33,,,
1275,37.16,,,7.36,,,1,0.558,0.418,1.022,,50,,,
1276,120.1,,,,,,1,2.381,,,,123.481,,,
1277,78.207,,,,,,,1.793,,,,80,,,
1278,203.48,0,0,18.22,0,0,1,14.743,0,1.194,0,239.737,,,
1279,,,,,,,,,,,,,,,
1281,,,,,,,,,,,,,,,
1282,30,,,2.778,,,1,7,,,,BLANK,,,
1283,122,,,,,,2,14,,,,138,,,
1284,44,,,23,,,1,5.96,4.04,,,78,,,
1285,128.55,,,,,,,,,,,BLANK,,,
1286,90.01,,4.4,,,,1,5.288,,,,100.698,,,
1287,,,,23.41,,,1,0.029,128.821,,,156,,,
1288,75.46,,,,,,,,,,,75.46,,,
1289,20,,,,,,1,1.3,,,,22.3,,,
1290,427.659,,,,,,,,64.32,,,491.979,,,
1291,,,,,,,,,,,,,,,
1292,160,0,0,10,0,0,1,14,0,0,0,185,,,
1293,23,,,,,,,,,,,23,,,
1294,293.18,,,,,,1,27.753,4.44,0.412,,305.025,,,
1295,,,,,,,,,,,,,,,
1296,179.63,,,18,,,1,2.742,,,,201.372,,,
1297,6.53,,,,,,,3.713,3.2,0.883,,BLANK,,,
1299,21.986,,,,,,,2.5,,,,24.486,,,
1300,380,,,22.965,,,1,20,,,,423.965,197482.5,65914.8,
1301,,,,,,,,,,,,,,,
1302,54.12,,,6.81,,,,0.74,,,,61.67,,,
1303,62.5,,,,,,,0.602,,,,BLANK,,,
1304,72,,,7,,,1,,,,,80,,,
1305,96.5,,,,,,,1.253,,1.435,,99.188,,,
1306,13.9,,,4.18,,,1,0.92,,,,20,,,
1307,430.434,,,43.118,,,,0.902,40.971,1.127,,525.588,,,
1308,175.55,,35,,,,,,,,,BLANK,,,
1309,124.554,,14.2,18.68,,,1,12.551,,,,170.985,,,
1310,53,,,11,,,1,1.91,,,,66.91,,,
1311,51.505,,,,,,,,8.6,,,60.105,,,
1312,95.42,,,,,,,,,,,BLANK,,,
1314,86.4,,,,,,,2.637,,,,89.037,,,
1315,147.62,,,29.6,,,,6.509,,2.08,,BLANK,,,
1316,30,,,,9,,,,,,,39,,,
1317,132.36,,,1.69,,,,0.839,,,,134.889,,,
1318,213.77,0,0,16.26,0,0.2,2,0.23,3.2,0,,249.14,,,
1319,52.84,0,0,7,0,0,0,4.16,0,0,0,64,,,
1320,,,,6.035,,,,80.618,0,,,86.31,,,
1321,40.5,,,,,,,,,,,40.5,,,
1322,,88.123,,,,,1,8.76,,,,97.883,,,
1323,22.06,,,,,,,0.507,,,,BLANK,,,
1324,164.4,,,19.1,,,1,2.782,,,,187.282,,,
1325,,,,,29.221,,,,,,,BLANK,,,
1326,,,,,,,,,,,,,,,
1327,72.785,,,,,,,,,,,BLANK,,,
1328,96.03,,,3.28,,,1,5.401,,,,105.711,,,
1329,,,,,,,,,,,,,,,
1331,64.54,,,7.421,,,1,4.6,,,9.8,87.361,,,
1333,,,,,,,,,,,,,,,
1334,,52,,16.5,,,,1.7,7.3,,,77.5,,,
1336,119.56,,,,,,,7.28,,,,126.84,,,
1337,83.297,,,,,,,0.27,3.3,,,BLANK,,,
1338,163.696,,,,,,,,,,,BLANK,,,
1339,,,,,,,,,,,,,,,
1341,,7,9,,,,,,,,,BLANK,,,
1342,,,,14.403,,,,,,,,14.403,,,
1343,77.604,0,0,0,0,0,0,2.931,0,0,0,80.535,,,
1344,,,,,,,,,,,,,,,
1345,,,,,,,,,,,,,,,
1346,32.67,0,0,0,0,0,0,1.261,0,0,0,33.931,,,
1347,,,,,,,,,,,,,,,
1348,141.33,,,,,,1,4.31,2.92,3.98,,154,,,
1349,118,,,8,,,,,,,,126,,,
1350,16.096,,,,,,,,,,,BLANK,,,
1351,139.664,,,,,,,1.87,,,,141.54,,,
1352,33.879,,,,,,,,,,,33.879,,,
1353,24.55,,,,,,,2.92,,,,27.47,,,
1354,463.01,0,0,35.41,0,0,0,20.113,1.75,9.277,0,529.56,,,
1355,26,,,,,,,,,,,BLANK,,,
1356,,,,29.04,,,,,30.8,,,59.84,,,
1357,8,,,8.68,,,,,,,,BLANK,1450,,
1358,,,,35.536,,,,,18.9,,,54.436,,,
1359,68.22,,,1.51,,,1,4.48,4.79,,,80,,,
1360,18.45,0,0,0,0,0,0,0,0,0,0,18.45,0,,
1361,,,16,4,,,,,,,,20,,,
1362,36.5,,,3.1,,,,142.985,1.35,0.884,,43.5,,,
1364,,309,,2,,,1,1.5,,,,313.5,,,
1365,72.89,,,20.4,,,1,1.3,,3.218,,98.808,,,
1366,,,,,,,,,,,,,,,
1368,94.81,,,,,,,5.815,,,,BLANK,,,
1369,160.726,,,,,,,,,,,160.726,,,
1370,,,,,,,,,,,,,,,
1371,19.114,,,,,,,0.08,0,,,19.194,,,
1372,38.042,,,,,,,1.639,,,,39.686,,,
1373,40,,,32.872,,,0,1,,,,73.872,,,
1374,91.36,,,4.79,,,,2.855,,,,99.005,,,
1375,382.74,,,,46.94,,,25.55,,,,455.23,,,
1376,63,0,0,10.532,0,0,1,1.227,1.97,0.231,0,79.49,,,
1377,79.769,,,8.645,,,1,2.152,,,,91.566,,,
1378,10,,,,,,1,5.254,,,,16.254,,,
1379,150,,,10.42,,,0,17.15,,,,177.57,,,
1380,48.37,,,16.68,,,1,4.69,,,,70.74,,,
1381,54,0,0,3,0,0,1,1.3,0,0,0,BLANK,,,
1382,,,,38.81,,,,,,,1,39.81,,,
1383,,,,,,,,,,,,,,,
1384,21.589,,,,,,,,,,,21.589,,,
1385,30.88,,,,,,,,,,,30.88,,,
1386,,,,29.682,,2.776,1,2.092,,,,35.55,,,
1387,115.17,,,,,,,0.97,,,,116.14,,,
1388,14.91,,,,,,,0.414,2.66,,,17.984,,,
1389,89.14,25,,23,,,0,2.768,9.02,0,,154.248,,,
1390,41.351,,,,,,,0.949,,,,42.3,,,
1391,25.53,,,,,,1,0.472,0.9,,,27.902,,,
1392,57.635,,,7.61,,,0,2.96,,,,68.205,,,
1393,36.785,,,,,,1,0.965,,,,38.75,,,
1394,,,,,,,,,,,,,,,
1395,36.31,,,,,,,2,,,,38.31,,,
1396,62.76,,,15.15,,,1,1.8,,,,80.71,,,
1397,35,,,5,,,,,,,,40,,,
1398,,,,4.38,,,,1.811,5.979,,5.768,17.938,,,
1399,,,,,,,1,2.25,33.75,,,37,,,
1400,47.24,,,,,,1,14.463,3.8,,,66.463,,,
1401,,,,,,,,,,,,,,,
1402,,17,,,50,,,,,,,BLANK,,,
1403,14.6,,,,,,,0.008,,,,14.608,,,
1404,200,,,22,,,1,2.048,,,,225.048,,,
1405,218.078,,,,,,,,,,,218.078,,,
1406,50.391,,,,,,,,,,,BLANK,,,
1407,113.993,,,,,,,,,,,113.993,,,
1408,43,,,16,,,,3.654,,,,62.654,,,
1409,109.09,,,,,,1,3.13,,,,113.22,,,
1411,42.64,,,4,,,,3.321,,0.679,,50.64,,,
1412,18.81,,,7.447,,,1,1.055,,,,28.312,,,
1413,7.8,,,,,,,3.463,,,,11.263,,,
1414,13,,,,,,1,1,,,,BLANK,,,
1415,30,,,8,,,,,,,,BLANK,,,
1416,21.43,,,,,,1,2.213,,,,24.643,,,
1417,53.309,,,,,,,,0.55,,,53.859,,,
1418,349.06,,,,,,2,13.266,1.18,,,365.506,,,
1420,,,,,,,,,,,,,,,
1421,52.409,,,,,,,,1.45,,,53.859,,,
1422,,20.933,3,9,,,1,,,,,33.933,,,
1423,,,,,,,,,,,,,,,
1424,106.27,,,6.4,,,1,3.33,,,,117,,,
1425,36.46,,,,,,,,,,,BLANK,16882,,
1426,74.11,,,5,,,0,3.545,0.452,0.772,,99.975,,,
1427,,,,,,,,,,,,,,,
1428,180.25,,,23,,,1,1.58,,,,BLANK,,,
1429,102.07,,,,,,,3.95,,,,106.02,,,
1430,32,,,59.025,,,0,1,,,,92.025,,,
1431,50,,,7.571,,,,2.887,,,,64.594,,,
1432,148.65,,,8.49,,,1,29.56,,,,187.7,,,
1433,90.63,,,,,,,4.73,,,,95.36,,,
1434,108.87,,,,,,1,11.38,,,,121.25,,,
1435,,,,,20.618,,,,,,,20.618,,,
1436,,,,,,,,,,,,,,,
1437,,165.522,,,,,,5.521,,,,171.043,,,
1438,137.207,,,,,,,3.94,1.8,,,142.897,,,
1439,57.67,,,7,,,,0.009,0,3.574,,BLANK,,,
1440,40,,,,,,1,5,,,,BLANK,,,
1441,101.157,6,37,17.461,,,1,0.463,,,,163.081,,,
1442,,12,,3,,,,1,,,,BLANK,,,
1443,54.38,10,,7.2,,,1,5.99,,,,78.87,,,
1444,146,,,12,,,,,,,,158,,,
1445,,,2,,,0.22,1,2.57,,,,5.79,5775,,
1446,14.1,,,,,,,1.524,,,,15.624,,,
1447,125.8,,,14.87,,,1,6.29,6.52,0.38,,166.66,,,
1448,201.95,,,27.137,,,1,2.75,,,,232.837,,,
1449,,,,,,,,,,,,,,,
1451,195.046,,,3.664,,,1,7.799,,,,207.509,,,
1452,26.25,2.792,12.13,,,,1,1.881,37.67,0.119,,BLANK,,,
1453,161.85,,,,,,,33.39,,,,195.24,,,
1454,34.29,,,,,,,0.71,,,,BLANK,,,
1455,36.4,,,,,,,0.5,,,,36.9,,,
1456,45.76,,,,,,,,,,,45.76,,,
1457,,,,,,,,,,,,,,,
1458,492.016,,,20,,,,7.241,0.87,,,520.127,,,
1459,,,,,,,,,,,,,,,
1460,54,,,,,,,7.079,,,,61.079,,,
1461,82,,,,,,1,4.13,,,,87.13,,,
1462,23.49,,,,,,2,3.408,,,,28.898,,,
1463,52.35,,,,,,,16.15,,,,68.5,,,
1464,65.18,,,,,,,4.296,4.7,1.048,,75.224,,,
1465,66.12,,,,,,,,,,,66.12,,,
1466,,,,,,,,,,,,,,,
1467,288.67,,,37.01,,,2,33.009,,,,360.689,,,
1468,136,,,,,,,,,,,136,,,
1469,28.44,,,10.4,,,,3.69,,,,42.53,,,
1470,82,0,0,0,0,0,1,8.96,0,0,0,91.969,,,
1471,14,,,8,,,,,,,,22,,,
1472,18.702,,,,,,1,0.378,,,,20.08,,,
1474,82,,8,,,,,8.844,,0,,98.844,,,
1475,,,,,,,,,,,,,,,
1476,,,,,,,,,,,,,,,
1477,37.21,,,23.72,,,1,16.392,,,,78.322,,,
1478,151,,,16.093,,,1,4.5,,,,172.593,,,
1479,97.152,,,15,,,1,4.65,,,,BLANK,,,
1480,,87.27,,,,,,,,,,87.27,,,
1481,15,,,0.005,,,,,,,,15.005,,,
1482,,16.55,,,,,,,,,,BLANK,,,
1483,,,,,7.54,,,9.323,4.12,,,20.983,,,
1484,8,,,10,16.855,,1,5,,,,BLANK,,,
1485,388.511,,,13,,,,,,,,401.511,,,
1486,51.7,,21.96,,,,,1.19,5.15,,,80,,,
1487,69,,,,,,1,2.4,,,,72.4,,,
1488,64.378,,,,,,,,,,,BLANK,,,
1490,33.15,,,,,,,,,,,33.15,,,
1491,370,,,14,,,,10.24,,,,394.24,,,
1492,48.64,,,43.013,,,,7.3,,,,98.953,,,
1493,49,,,28,,,1,1.111,,0.468,,81.579,,,
1494,48.4,,,,,,1,,,,,49.4,,,
1495,19.13,,,,,,1,1.12,,,,21.253,,,
1496,60,,,28,,,,,,,,88,,,
1497,,,,9.391,18,,0,4.048,,,,31.439,,,
1498,,7.5,,,,,,,,,,BLANK,4800,,
1499,54.999,,0.66,1.55,,,,6.678,,0.322,,64.159,,,
1500,,110,,,,,1,5,,,,116,,,
1501,14.896,,,,,,,,,,,14.896,,,
1502,14,,,8.489,,,,0.809,,,,23.298,,,
1503,10,,,40,,,1,2,,,24,78,,,
1505,100.76,,,23.01,,,0,0.97,,0,,128.66,,,
1506,,,,,,,,,,,,,,,
1507,,,,,,17.622,1,2.778,3.6,,,25,,,
1508,74.512,,,,,,,,,,,BLANK,,,
1509,27.93,0.59,,3.93,,,0,1.106,3.67,0.674,,37.24,,,
1510,83.45,,,,,,,,,,,83.45,,,
1511,62.86,,,11.881,,,1,0.909,,,,76.65,,,
1512,129.117,,,0.475,,,1,,,,,139.25,,,
1513,3,,,16,,,,,,,,19,300,0,
1514,,,,,,,,,,,,,,,
1515,129.92,,,21.78,,,,,,,,151.7,,,
1516,225.682,,,58,,,1,6.465,,1.035,,302.182,,,
1517,7.14,,,,,,,,,,,BLANK,3297.77,,
1518,42,6,,,,,1,4,,,,53,,,
1519,155.95,0,1,24.74,,,1,5.33,,,,188.02,,,
1520,48,,,,,,,0.762,,1.979,,BLANK,,,
1521,74.21,,,,,,,,,,,74.21,,,
1523,312.156,,,,,,,,,,,BLANK,,,
1524,105,,,10,,,1,4,,,,120,,,
1525,18,25,,23.275,,,,,,,,66.275,,,
1526,98,,,,,,,,,,,98.394,,,
1527,48.68,,,,,,,1.103,,,,49.783,,,
1528,62.591,,,9,,,0,2.348,,3.152,,77.091,,,
1529,52.798,,,,,,,,,,,52.798,,,
1530,145.5,,,4.2,,,1,6.157,2.99,9.143,,167.5,,,
1531,33.87,,,4.014,,,,2.361,,,,40.752,,,
1532,50.067,,,4,,,1,0.04,4.93,,,62.487,,,
1533,155.56,,,9.59,,,1,9.1,6.48,0,,180.833,,,
1534,193.9,,,10,,,1,4.902,1.9,0.098,,211.9,,,
1535,,,,,,,,,,,,,,,
1536,105.362,,,,,,,,,,,105.362,,,
1537,110.3968,,,21.75,,,,,,,,BLANK,,,
1538,76,10,,19,,,1,14,,,,120,,,
1539,140,,,,,,,6.2,1,,,147.2,,,
1540,84.32,,,5.3,,,,5.79,0,,,95.414,,,
1541,32.53,,,5.69,,,,,,1.25,,39.47,,,
1542,908.947,,,21.24,,,4,10.927,,3.202,,957.396,,,
1543,,,,,35.579,,,,,,,35.579,,,
1545,,,,,,,,,,,,,,,
1546,7,,,3.82,,2.233,0.48,,,,,13.533,3132.5,,
1547,160,0,0,0,1,4,1,1,,,,BLANK,,,
1548,20,,,,,,,,,,,BLANK,,,
1549,87,,,41.6,,,1,12.2,,,,141.8,,,
1551,50,0,0,0,0,0,0,0,0,0,0,50,,,
1552,11.84,,,28.16,,,,,,,,40,,,
1553,89,8,57.2,,,0.5,1,3,,,0.5,159.2,,,
1554,39,,,,,,1,0,,,,40,,,
1555,,,5,,6.5,5,1,3.326,,,,BLANK,,,
1556,169.015,,,,,,,,,,,BLANK,,,
1558,51,,,10,,,1,3,,,,65,,,
1559,90.136,,,,,,,,,,,BLANK,,,
1560,,,,,,,,,,,,,,,
1561,15,,,4,,,,1.928,,3.085,,24.013,7733.9,,
1562,210.735,,,,5.925,,1,6.208,,,,223.868,,,
1563,123.727,,,2.298,,,1,6.651,,,,133.676,,,
1564,64.96,1.28,,20.67,,,1,2.57,,,,90.48,,,
1565,49.5,,,15.195,,,,,,,,BLANK,,,
1566,26.03,,,0.344,,,,1.318,14.02,,,BLANK,,,
1567,365.8,,,,,,,,,,,BLANK,,,
1568,118.99,,,,,,,1.694,1.8,,,122.484,,,
1569,,,,,,,,,,,,,,,
1570,11,,,,,,1,26.125,,,,38.125,,,
1571,234.9053,,,23.5,,,,15.684,,1.534,,275.623,,,
1572,85.33,,,68.02,,,,3.4,,,,156.75,,,
1573,94.03,,,6.87,,,2,2,15.25,,,120.15,,,
1574,107.842,,,,,,,,,,,BLANK,,,
1575,,,,,,,,,,,,,,,
1576,30,,,6,,,1,3,,,,40,,,
1577,185.95,,,,,,,2.713,,,,188.663,,,
1578,,,,,,,,,,,,,,,
1579,31,,,,,,0,4,,,8.448,43.448,,,
1580,64,,,,,,,,,,,64,,,
1581,,,,,,,,,,,,,,,
1582,38,,,,,,,2,,,,40,,,
1583,19.84,,,,,,1,2.637,4.51,0.619,,31.476,,,
1584,58.326,,,15.05,,,1,1.117,,3.537,,81.43,,,
1585,50.078,,,,,,,1.587,,2.335,,54,,,
1587,32.08,,,,,,,,,,,BLANK,,,
1588,76,,,,,,,,,,,76,,,
1589,77.517,,,,,,,122.167,,,,79.927,,,
1590,2,,1.5,,,,,,,,,BLANK,910,6500,
1591,290.78,,3,15,,,2,4,,,2,316.78,,,
1592,35,,,2.653,,,,2.347,,,,BLANK,,,
1593,,66.513,,8.353,,,,2.239,,,,77.105,,,
1594,75.743,,,3.316,,,,0.603,,,,79.662,,,
1595,74.225,,,,,,,,,,,74.225,,,
1597,5.986,,,,,,1,1.175,,,,BLANK,2244,,
1598,37.69,,,0.399,,,,0.608,1,0.223,,39.92,,,
1599,80,,,,,,,,,,,80,,,
1600,76.6,,,12.461,,,,1.169,,,,90.23,,,
1601,66.5,,,,,,,5.519,4.201,,,76.22,,,
1602,60.09,,,5,,,1,1.294,1.55,0.086,,74.08,,,
1603,35.233,,,0.457,,,,0.711,,,,36.401,,,
1604,,,,,,,,1.118,16.336,,,BLANK,,,
1605,,,,,,,,,,,,,,,
1606,68.24,,,,,,,2.94,1.92,3.221,,BLANK,,,
1607,20,,,,,,1,8,,,,BLANK,,,
1608,82.46,,,,,,,2.849,,1.16,,86.469,,,
1609,142.09,,,,,,,1.233,9.541,,,152.864,,,
1610,203.4,6,18.43,,,,2,5.29,,,,235.12,,,
1611,40,,,,,,,,,,,40,18337.46,,
1612,7.5,0,0,0,0,0,1,1.878,0,0,0,10.378,,,
1613,,,,,,,,,,,,,,,
1614,111.187,,,14.501,,,1,11.73,,1.287,17.685,157.39,,,
1615,,,,,21.731,,,,,,,21.731,,,
1616,4.5,4.5,0,0,0,0,1,1.008,0,0,0,11.008,,,
1617,27.58,,,9,,,,0.639,,,,37.219,,,
1618,50,,,6,,,,1.281,3.3,2.249,,59.53,,,
1619,30,,,,,,1,2.227,,,,33.227,,,
1620,39.949,,,,,,,,,,,BLANK,,,
1621,38.24,,,,,,1,0.68,,,,39.92,,,
1622,65.13,,,,,,1,13.87,,,,80,,,
1623,35.255,,,,,,,,,,,35.255,,,
1624,64.56,,,9.5,,,1,4.94,,,,80,,,
1625,439.585,,,48.317,,,1,16.894,21.481,2.12,,528.526,,,
1626,70,,,5,,,1,0.263,,,,80,,,
1627,10,,,29.874,,,,,,,,39.874,,,
1630,47,12,10,4,,,3,8.25,,,,84.25,,,
1632,109.5,,,,,,,2.159,,,,111.659,,,
1633,59.47,,,24,,,,,,,,83.47,,,
1634,61.916,,,8.812,,,0,5.712,,,,76.44,,,
1635,96.54,,,,,,,,,,,96.54,,,
1636,131.36,,,15,,,1,4.264,,3.214,,BLANK,,,
1637,64.352,,,,,,,,,,,64.352,,,
